,Stage,Sample,Louvain,DPC
0,E6.5,1,1,2
1,E6.5,1,0,1
5,E6.5,1,4,2
7,E6.5,1,3,2
8,E6.5,1,1,2
10,E6.5,1,1,2
11,E6.5,1,5,4
12,E6.5,1,1,2
13,E6.5,1,3,2
14,E6.5,1,1,2
15,E6.5,1,2,3
17,E6.5,1,1,2
19,E6.5,1,5,0
20,E6.5,1,3,2
21,E6.5,1,1,2
22,E6.5,1,0,5
23,E6.5,1,5,4
24,E6.5,1,2,3
25,E6.5,1,0,2
26,E6.5,1,1,2
27,E6.5,1,1,2
28,E6.5,1,1,2
29,E6.5,1,2,3
30,E6.5,1,1,2
31,E6.5,1,0,5
33,E6.5,1,2,3
34,E6.5,1,0,1
35,E6.5,1,2,3
38,E6.5,1,1,2
40,E6.5,1,2,3
41,E6.5,1,1,2
42,E6.5,1,1,2
43,E6.5,1,4,2
44,E6.5,1,5,0
45,E6.5,1,0,2
46,E6.5,1,0,5
48,E6.5,1,0,5
50,E6.5,1,5,0
51,E6.5,1,1,2
52,E6.5,1,2,3
54,E6.5,1,5,0
55,E6.5,1,5,0
56,E6.5,1,2,3
57,E6.5,1,5,0
58,E6.5,1,0,5
60,E6.5,1,1,2
61,E6.5,1,3,2
62,E6.5,1,1,2
63,E6.5,1,5,4
64,E6.5,1,1,2
67,E6.5,1,0,5
68,E6.5,1,1,2
69,E6.5,1,3,2
70,E6.5,1,0,5
71,E6.5,1,5,0
72,E6.5,1,5,0
74,E6.5,1,2,3
75,E6.5,1,1,2
76,E6.5,1,2,3
77,E6.5,1,5,0
78,E6.5,1,1,2
79,E6.5,1,1,2
80,E6.5,1,3,2
81,E6.5,1,5,0
82,E6.5,1,5,0
83,E6.5,1,2,3
84,E6.5,1,0,1
85,E6.5,1,0,2
86,E6.5,1,3,2
87,E6.5,1,0,1
88,E6.5,1,4,2
89,E6.5,1,1,2
90,E6.5,1,5,0
92,E6.5,1,2,3
93,E6.5,1,3,2
94,E6.5,1,2,3
95,E6.5,1,5,0
96,E6.5,1,0,2
97,E6.5,1,1,2
98,E6.5,1,0,5
100,E6.5,1,2,3
101,E6.5,1,0,5
102,E6.5,1,2,3
104,E6.5,1,5,0
105,E6.5,1,3,2
106,E6.5,1,5,0
107,E6.5,1,2,3
109,E6.5,1,1,2
110,E6.5,1,0,5
111,E6.5,1,2,3
112,E6.5,1,5,0
113,E6.5,1,0,1
114,E6.5,1,5,4
115,E6.5,1,0,5
116,E6.5,1,0,1
118,E6.5,1,2,3
119,E6.5,1,0,2
120,E6.5,1,1,2
122,E6.5,1,1,2
123,E6.5,1,2,3
124,E6.5,1,5,0
125,E6.5,1,4,2
126,E6.5,1,4,2
127,E6.5,1,1,2
128,E6.5,1,1,2
130,E6.5,1,0,1
132,E6.5,1,0,2
135,E6.5,1,2,3
136,E6.5,1,1,2
137,E6.5,1,2,3
139,E6.5,1,0,1
140,E6.5,1,0,5
141,E6.5,1,3,2
142,E6.5,1,3,2
144,E6.5,1,3,2
148,E6.5,1,0,5
150,E6.5,1,2,3
151,E6.5,1,1,2
152,E6.5,1,1,2
153,E6.5,1,1,2
155,E6.5,1,2,3
156,E6.5,1,4,2
157,E6.5,1,0,1
158,E6.5,1,5,0
159,E6.5,1,5,0
160,E6.5,1,4,2
164,E6.5,1,4,2
166,E6.5,1,5,4
168,E6.5,1,2,3
170,E6.5,1,1,2
171,E6.5,1,2,3
172,E6.5,1,3,2
174,E6.5,1,0,1
175,E6.5,1,2,3
176,E6.5,1,1,2
177,E6.5,1,1,2
178,E6.5,1,1,2
180,E6.5,1,3,2
181,E6.5,1,0,2
182,E6.5,1,5,4
183,E6.5,1,5,0
184,E6.5,1,4,2
187,E6.5,1,1,2
188,E6.5,1,0,1
189,E6.5,1,4,2
190,E6.5,1,1,2
191,E6.5,1,1,2
193,E6.5,1,1,2
194,E6.5,1,2,3
195,E6.5,1,3,2
196,E6.5,1,1,2
197,E6.5,1,5,0
198,E6.5,1,2,3
199,E6.5,1,1,2
200,E6.5,1,2,3
201,E6.5,1,0,5
202,E6.5,1,3,2
203,E6.5,1,4,2
204,E6.5,1,2,3
207,E6.5,1,2,3
208,E6.5,1,1,2
209,E6.5,1,1,2
211,E6.5,1,0,1
212,E6.5,1,1,2
213,E6.5,1,5,0
214,E6.5,1,2,3
215,E6.5,1,5,4
217,E6.5,1,2,3
218,E6.5,1,1,2
219,E6.5,1,3,2
220,E6.5,1,2,3
221,E6.5,1,2,3
223,E6.5,1,5,0
224,E6.5,1,0,1
225,E6.5,1,0,5
226,E6.5,1,0,1
227,E6.5,1,2,3
229,E6.5,1,1,2
230,E6.5,1,5,0
231,E6.5,1,3,2
232,E6.5,1,1,2
234,E6.5,1,2,3
236,E6.5,1,2,3
237,E6.5,1,4,2
239,E6.5,1,2,3
240,E6.5,1,0,5
241,E6.5,1,2,3
244,E6.5,1,0,1
245,E6.5,1,4,2
246,E6.5,1,4,2
248,E6.5,1,2,3
249,E6.5,1,1,2
250,E6.5,1,1,2
251,E6.5,1,1,2
252,E6.5,1,1,2
253,E6.5,1,4,2
254,E6.5,1,5,0
255,E6.5,1,2,3
256,E6.5,1,3,2
257,E6.5,1,3,2
258,E6.5,1,0,1
259,E6.5,1,5,0
262,E6.5,1,0,1
263,E6.5,1,1,2
264,E6.5,1,5,4
265,E6.5,1,2,3
266,E6.5,1,3,2
268,E6.5,1,5,4
269,E6.5,1,4,2
270,E6.5,1,1,2
271,E6.5,1,5,4
272,E6.5,1,1,2
273,E6.5,1,1,2
275,E6.5,1,0,1
276,E6.5,1,1,2
277,E6.5,1,1,2
278,E6.5,1,0,5
279,E6.5,1,3,2
280,E6.5,1,1,2
281,E6.5,1,4,2
282,E6.5,1,1,2
283,E6.5,1,5,4
284,E6.5,1,1,2
288,E6.5,1,4,2
289,E6.5,1,1,2
290,E6.5,1,2,3
291,E6.5,1,0,2
292,E6.5,1,0,2
294,E6.5,1,2,3
295,E6.5,1,0,1
297,E6.5,1,2,3
298,E6.5,1,0,1
299,E6.5,1,5,0
300,E6.5,1,2,3
301,E6.5,1,1,2
302,E6.5,1,0,1
