,Cell,Louvain_Stage,Annotation_Stage
0,cell_1,0,
1,cell_2,2,
2,cell_6,0,
3,cell_8,0,
4,cell_11,0,
5,cell_12,3,
6,cell_13,0,
7,cell_15,0,
8,cell_16,1,
9,cell_18,0,
10,cell_20,3,
11,cell_23,2,
12,cell_24,3,
13,cell_25,1,
14,cell_26,0,
15,cell_27,0,
16,cell_28,0,
17,cell_30,1,
18,cell_31,0,
19,cell_34,1,
20,cell_36,1,
21,cell_38,2,
22,cell_42,0,
23,cell_43,0,
24,cell_46,2,
25,cell_47,2,
26,cell_48,1,
27,cell_49,2,
28,cell_51,3,
29,cell_53,1,
30,cell_57,1,
31,cell_58,3,
32,cell_59,2,
33,cell_62,0,
34,cell_64,3,
35,cell_65,0,
36,cell_68,0,
37,cell_70,0,
38,cell_71,2,
39,cell_72,3,
40,cell_73,3,
41,cell_75,1,
42,cell_76,0,
43,cell_77,1,
44,cell_78,3,
45,cell_79,0,
46,cell_82,3,
47,cell_84,1,
48,cell_88,2,
49,cell_89,0,
50,cell_90,0,
51,cell_91,3,
52,cell_93,1,
53,cell_94,0,
54,cell_95,1,
55,cell_96,3,
56,cell_97,2,
57,cell_98,0,
58,cell_101,1,
59,cell_103,1,
60,cell_105,3,
61,cell_106,0,
62,cell_107,3,
63,cell_108,1,
64,cell_110,0,
65,cell_111,2,
66,cell_112,1,
67,cell_113,3,
68,cell_114,2,
69,cell_116,2,
70,cell_117,2,
71,cell_119,1,
72,cell_120,0,
73,cell_121,0,
74,cell_124,1,
75,cell_125,3,
76,cell_126,0,
77,cell_127,0,
78,cell_131,2,
79,cell_136,1,
80,cell_137,0,
81,cell_140,2,
82,cell_142,0,
83,cell_145,0,
84,cell_151,1,
85,cell_152,0,
86,cell_153,0,
87,cell_154,0,
88,cell_156,1,
89,cell_157,0,
90,cell_159,3,
91,cell_160,3,
92,cell_161,0,
93,cell_167,3,
94,cell_168,0,
95,cell_169,1,
96,cell_172,1,
97,cell_175,2,
98,cell_176,1,
99,cell_177,0,
100,cell_179,0,
101,cell_181,0,
102,cell_183,3,
103,cell_184,3,
104,cell_185,0,
105,cell_188,0,
106,cell_190,0,
107,cell_192,0,
108,cell_195,1,
109,cell_196,0,
110,cell_197,0,
111,cell_198,3,
112,cell_199,1,
113,cell_200,0,
114,cell_202,0,
115,cell_205,1,
116,cell_208,1,
117,cell_209,0,
118,cell_210,0,
119,cell_212,2,
120,cell_213,0,
121,cell_214,3,
122,cell_215,1,
123,cell_216,3,
124,cell_218,1,
125,cell_220,0,
126,cell_221,1,
127,cell_224,3,
128,cell_225,2,
129,cell_226,2,
130,cell_228,1,
131,cell_230,0,
132,cell_231,3,
133,cell_232,0,
134,cell_235,1,
135,cell_237,1,
136,cell_240,1,
137,cell_242,1,
138,cell_245,2,
139,cell_246,0,
140,cell_247,0,
141,cell_249,1,
142,cell_250,0,
143,cell_251,0,
144,cell_252,0,
145,cell_253,0,
146,cell_254,0,
147,cell_255,3,
148,cell_257,0,
149,cell_258,0,
150,cell_263,2,
151,cell_265,3,
152,cell_266,1,
153,cell_267,0,
154,cell_269,3,
155,cell_272,3,
156,cell_273,0,
157,cell_274,0,
158,cell_276,2,
159,cell_277,0,
160,cell_278,0,
161,cell_279,2,
162,cell_280,0,
163,cell_281,0,
164,cell_284,3,
165,cell_289,0,
166,cell_291,1,
167,cell_292,0,
168,cell_293,0,
169,cell_296,2,
170,cell_298,1,
171,cell_299,2,
172,cell_300,3,
173,cell_301,1,
174,cell_303,2,
175,cell_304,3,
176,cell_306,0,
177,cell_308,0,
178,cell_309,0,
179,cell_311,0,
180,cell_314,2,
181,cell_316,0,
182,cell_317,0,
183,cell_318,0,
184,cell_319,0,
185,cell_320,2,
186,cell_326,2,
187,cell_327,0,
188,cell_328,3,
189,cell_329,1,
190,cell_330,0,
191,cell_331,3,
192,cell_334,0,
193,cell_335,2,
194,cell_337,0,
195,cell_338,0,
196,cell_339,3,
197,cell_344,0,
198,cell_346,0,
199,cell_347,3,
200,cell_348,3,
201,cell_353,1,
202,cell_355,1,
203,cell_357,2,
204,cell_358,3,
205,cell_359,0,
206,cell_360,0,
207,cell_361,1,
208,cell_363,6,
209,cell_364,2,
210,cell_365,0,
211,cell_366,3,
212,cell_370,1,
213,cell_371,9,
214,cell_372,3,
215,cell_374,8,
216,cell_375,10,
217,cell_376,0,
218,cell_378,1,
219,cell_381,3,
220,cell_382,6,
221,cell_383,4,
222,cell_388,1,
223,cell_389,3,
224,cell_392,10,
225,cell_395,7,
