Cell,Louvain_Stage,Annotation
cell_1,1,Anterior Epiblast
cell_2,0,Posterior Epiblast
cell_6,4,Epiblast*
cell_8,3,Epiblast*
cell_9,1,Anterior Epiblast
cell_11,1,Anterior Epiblast
cell_12,5,Visceral Endoderm
cell_13,1,Anterior Epiblast
cell_14,3,Epiblast*
cell_15,1,Anterior Epiblast
cell_16,2,Trophectoderm
cell_18,1,Anterior Epiblast
cell_20,5,Visceral Endoderm
cell_21,3,Epiblast*
cell_22,1,Anterior Epiblast
cell_23,0,Posterior Epiblast
cell_24,5,Visceral Endoderm
cell_25,2,Trophectoderm
cell_26,0,Posterior Epiblast
cell_27,1,Anterior Epiblast
cell_28,1,Anterior Epiblast
cell_29,1,Anterior Epiblast
cell_30,2,Trophectoderm
cell_31,1,Anterior Epiblast
cell_32,0,Posterior Epiblast
cell_34,2,Trophectoderm
cell_35,0,Posterior Epiblast
cell_36,2,Trophectoderm
cell_39,1,Anterior Epiblast
cell_41,2,Trophectoderm
cell_42,1,Anterior Epiblast
cell_43,1,Anterior Epiblast
cell_44,4,Epiblast*
cell_45,5,Visceral Endoderm
cell_46,0,Posterior Epiblast
cell_47,0,Posterior Epiblast
cell_49,0,Posterior Epiblast
cell_51,5,Visceral Endoderm
cell_52,1,Anterior Epiblast
cell_53,2,Trophectoderm
cell_55,5,Visceral Endoderm
cell_56,5,Visceral Endoderm
cell_57,2,Trophectoderm
cell_58,5,Visceral Endoderm
cell_59,0,Posterior Epiblast
cell_61,1,Anterior Epiblast
cell_62,3,Epiblast*
cell_63,1,Anterior Epiblast
cell_64,5,Visceral Endoderm
cell_65,1,Anterior Epiblast
cell_68,0,Posterior Epiblast
cell_69,1,Anterior Epiblast
cell_70,3,Epiblast*
cell_71,0,Posterior Epiblast
cell_72,5,Visceral Endoderm
cell_73,5,Visceral Endoderm
cell_75,2,Trophectoderm
cell_76,1,Anterior Epiblast
cell_77,2,Trophectoderm
cell_78,5,Visceral Endoderm
cell_79,1,Anterior Epiblast
cell_80,1,Anterior Epiblast
cell_81,3,Epiblast*
cell_82,5,Visceral Endoderm
cell_83,5,Visceral Endoderm
cell_84,2,Trophectoderm
cell_85,0,Posterior Epiblast
cell_86,0,Posterior Epiblast
cell_87,3,Epiblast*
cell_88,0,Posterior Epiblast
cell_89,4,Epiblast*
cell_90,1,Anterior Epiblast
cell_91,5,Visceral Endoderm
cell_93,2,Trophectoderm
cell_94,3,Epiblast*
cell_95,2,Trophectoderm
cell_96,5,Visceral Endoderm
cell_97,0,Posterior Epiblast
cell_98,1,Anterior Epiblast
cell_99,0,Posterior Epiblast
cell_101,2,Trophectoderm
cell_102,0,Posterior Epiblast
cell_103,2,Trophectoderm
cell_105,5,Visceral Endoderm
cell_106,3,Epiblast*
cell_107,5,Visceral Endoderm
cell_108,2,Trophectoderm
