Cell,Louvain_Stage,Annotation_Stage
cell_1,0,
cell_2,2,
cell_6,1,
cell_8,0,
cell_9,0,
cell_11,0,
cell_12,6,
cell_13,0,
cell_14,5,
cell_15,1,
cell_16,3,
cell_18,0,
cell_20,6,
cell_21,1,
cell_22,0,
cell_23,2,
cell_24,6,
cell_25,3,
cell_26,5,
cell_27,1,
cell_28,1,
cell_29,0,
cell_30,3,
cell_31,0,
cell_32,2,
cell_34,3,
cell_35,2,
cell_36,3,
cell_38,2,
cell_39,0,
cell_41,3,
cell_42,0,
cell_43,5,
cell_44,4,
cell_45,6,
cell_46,5,
cell_47,2,
cell_48,3,
cell_49,2,
cell_51,6,
cell_52,0,
cell_53,3,
cell_55,6,
cell_56,6,
cell_57,3,
cell_58,6,
cell_59,2,
cell_61,0,
cell_62,1,
cell_63,0,
cell_64,6,
cell_65,0,
cell_68,2,
cell_69,0,
cell_70,5,
cell_71,2,
cell_72,6,
cell_73,6,
cell_75,3,
cell_76,0,
cell_77,3,
cell_78,6,
cell_79,0,
cell_80,0,
cell_81,1,
cell_82,6,
cell_83,6,
cell_84,3,
cell_85,2,
cell_86,2,
cell_87,5,
cell_88,2,
cell_89,1,
cell_90,0,
cell_91,6,
cell_93,3,
cell_94,1,
cell_95,3,
cell_96,6,
cell_97,5,
cell_98,0,
cell_99,2,
cell_101,3,
cell_102,2,
cell_103,3,
cell_104,1,
cell_105,6,
cell_106,1,
cell_107,6,
cell_108,3,
cell_110,0,
cell_111,2,
cell_112,3,
cell_113,6,
cell_114,2,
cell_115,6,
cell_116,2,
cell_117,2,
cell_118,0,
cell_119,3,
cell_120,5,
cell_121,0,
cell_122,0,
cell_123,0,
cell_124,3,
cell_125,6,
cell_126,1,
cell_127,1,
cell_128,0,
cell_129,0,
cell_131,2,
cell_133,1,
cell_136,3,
cell_137,0,
cell_138,3,
cell_140,2,
cell_141,2,
cell_142,1,
cell_143,1,
cell_145,1,
cell_149,2,
cell_151,3,
cell_152,0,
cell_153,0,
cell_154,0,
cell_156,3,
cell_157,4,
cell_158,2,
cell_159,6,
cell_160,6,
cell_161,1,
cell_163,0,
cell_165,0,
cell_166,3,
cell_167,6,
cell_168,2,
cell_169,3,
cell_171,0,
cell_172,3,
cell_173,1,
cell_175,2,
cell_176,3,
cell_177,0,
cell_178,0,
cell_179,0,
cell_181,1,
cell_182,5,
cell_183,6,
